Rank,Player,Squad,Pos,Age,MP,Min,G_per90,A_per90,Minutes_per_match,PotentialScore,LowSample
22,Tom Gaal,Gladbach,DF,16.0,12,1080,0.08,0.0,90.0,97.6,False
23,Omar Rekik,Hertha BSC,DF,15.0,6,540,0.0,0.0,90.0,97.6,False
24,Tim Schmidt,Heidenheim,DF,15.0,6,540,0.0,0.0,90.0,97.6,False
25,Tobias Maus,Unterhaching,DF,15.0,21,1890,0.0,0.0,90.0,97.52,False
26,Christian Bernhard,Hombrucher U17,DF,16.0,25,2250,0.0,0.0,90.0,97.49,False
27,Tom Breuers,PreuÃen MÃ¼nster,GK,16.0,22,1980,0.0,0.0,90.0,97.49,False
28,Kimberly Ezekwem,Bayern Munich,DF,16.0,5,450,0.0,0.0,90.0,97.49,False
29,Paul Grave,Bochum,GK,16.0,23,2070,0.0,0.0,90.0,97.49,False
30,Sezcan GÃ¼rman,Hombrucher U17,GK,16.0,8,720,0.0,0.0,90.0,97.49,False
31,Yannic Lenze,Schalke 04,GK,16.0,16,1440,0.0,0.0,90.0,97.49,False
32,Carl Luis Ludosan,Augsburg,GK,16.0,7,630,0.0,0.0,90.0,97.49,False
33,Pascal Maier,Elversberg,GK,16.0,13,1170,0.0,0.0,90.0,97.49,False
34,Jesper Maljojoki,Unterhaching,"MF,DF",16.0,6,540,0.0,0.0,90.0,97.49,False
35,Julian MÃ¼Ãigbrodt,Magdeburg,GK,16.0,16,1440,0.0,0.0,90.0,97.49,False
36,Lorenz Otto,Kaiserslautern,GK,16.0,26,2340,0.0,0.0,90.0,97.49,False
