  Rk, Player,Nation,Pos,Squad,Age,Born,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches
301,Leon Gaedicke,de GER,DF,Leverkusen,15,2001,23,23,1954,21.7,0,,,0,0,0,4,0,0,,,0,,Matches
302,Niko Galesic,hr CRO,DF,Hertha BSC,16,2001,8,2,222,2.5,0,,,0,0,0,1,0,0,,,0,,Matches
303,Gianluca Gamuzza,de GER,FW,Stuttgarter Kickers,16,2001,15,15,1073,11.9,3,,,3,0,0,1,0,0.25,,,0.25,,Matches
304,Noah Ganaus,de GER,MF,Stuttgart,16,2001,16,1,378,4.2,2,,,2,0,0,1,0,0.48,,,0.48,,Matches
305,Nils Gans,de GER,DF,Mainz 05,16,2001,26,26,2319,25.8,1,,,1,0,0,2,0,0.04,,,0.04,,Matches
306,Jason Gaudio,de GER,MF,Augsburg,15,2001,2,0,41,0.5,0,,,0,0,0,0,0,0,,,0,,Matches
307,Michael Gelt,de GER,GK,Hoffenheim,15,2002,1,0,22,0.2,0,,,0,0,0,0,0,0,,,0,,Matches
308,Velibor Geroschus,de GER,"FW,MF",DÃ¼sseldorf,15,2001,21,12,1164,12.9,4,,,4,0,0,0,0,0.31,,,0.31,,Matches
309,Max Geschwill,de GER,MF,Hoffenheim,16,2001,25,18,1587,17.6,4,,,4,0,0,3,0,0.23,,,0.23,,Matches
310,Darius Ghindovean,ro ROU,MF,MSV Duisburg,15,2001,25,25,1977,22,1,,,1,0,0,8,0,0.05,,,0.05,,Matches
311,Erjanik Ghubasaryan,am ARM,MF,Hamburger SV,16,2001,20,17,1568,17.4,1,,,1,0,0,2,0,0.06,,,0.06,,Matches
312,Tim-Luis Giersiefer,de GER,FW,Leverkusen,16,2001,19,4,671,7.5,5,,,5,0,0,1,0,0.67,,,0.67,,Matches
313,Jonas Giesen,de GER,DF,DÃ¼sseldorf,15,2001,13,10,903,10,0,,,0,0,0,0,0,0,,,0,,Matches
314,Lars Gindorf,de GER,FW,Elversberg,15,2001,26,26,2136,23.7,6,,,6,0,0,2,0,0.25,,,0.25,,Matches
315,Bennet Glinder,de GER,GK,Werder Bremen,13,2003,1,0,50,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
316,Torben Glombitza,de GER,"MF,DF",Hannover 96,15,2002,2,2,180,2,0,,,0,0,0,0,0,0,,,0,,Matches
317,Axel Glowacki,de GER,FW,Unterrath U17,16,2001,23,19,1613,17.9,4,,,4,0,0,2,0,0.22,,,0.22,,Matches
318,Mert GÃ¶ckan,de GER,DF,Dortmund,16,2001,23,21,1709,19,3,,,3,0,0,2,0,0.16,,,0.16,,Matches
319,Phillip GÃ¶decke,de GER,FW,Magdeburg,14,2002,3,1,113,1.3,0,,,0,0,0,0,0,0,,,0,,Matches
320,Maximilian GÃ¶ggel,de GER,MF,Stuttgart,15,2002,6,4,383,4.3,0,,,0,0,0,1,0,0,,,0,,Matches
321,Luis GÃ¶ker,de GER,DF,Viktoria KÃ¶ln,16,2001,26,25,2269,25.2,0,,,0,0,0,0,0,0,,,0,,Matches
322,Berkay GÃ¶kipinar,de GER,"DF,MF",Alemannia Aachen,16,2001,21,10,930,10.3,2,,,2,0,0,2,0,0.19,,,0.19,,Matches
323,Marian Goldbach,de GER,MF,Energie Cottbus,16,2001,25,25,2216,24.6,3,,,3,0,0,2,0,0.12,,,0.12,,Matches
324,Lion GÃ¶llnitz,de GER,MF,NÃ¼rnberg,15,2001,18,5,642,7.1,1,,,1,0,0,0,0,0.14,,,0.14,,Matches
325,Marco GÃ¶lz,de GER,DF,Heidenheim,16,2001,26,25,2176,24.2,1,,,1,0,0,4,0,0.04,,,0.04,,Matches
326,Dennis Gorka,de GER,GK,DÃ¼sseldorf,15,2002,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
327,Jonas GoÃ,de GER,MF,NÃ¼rnberg,15,2002,6,4,369,4.1,1,,,1,0,0,3,0,0.24,,,0.24,,Matches
328,Lucas Goy,de GER,GK,Bochum,15,2001,2,2,180,2,0,,,0,0,0,0,0,0,,,0,,Matches
329,Tarik GÃ¶zÃ¼sirin,de GER,"MF,DF",Hertha BSC,15,2001,18,9,909,10.1,0,,,0,0,0,2,0,0,,,0,,Matches
330,Paul Grave,de GER,GK,Bochum,16,2001,23,23,2070,23,0,,,0,0,0,0,0,0,,,0,,Matches
331,Tim Greifenegger,de GER,DF,Augsburg,15,2001,19,14,1359,15.1,0,,,0,0,0,3,0,0,,,0,,Matches
332,Daniel Grgic,de GER,DF,Schalke 04,16,2001,8,7,565,6.3,0,,,0,0,0,0,0,0,,,0,,Matches
333,Michael Gries,de GER,MF,EimsbÃ¼ttel U17,16,2001,25,21,1727,19.2,5,,,5,0,0,0,0,0.26,,,0.26,,Matches
334,Simon Griesbeck,de GER,MF,NÃ¼rnberg,16,2001,26,26,2149,23.9,3,,,3,0,0,3,0,0.13,,,0.13,,Matches
335,Kevin Grimm,de GER,FW,Stuttgart,16,2001,26,21,1759,19.5,18,,,16,2,2,2,0,0.92,,,0.82,,Matches
336,Mike Grimm,de GER,"MF,DF",RB Leipzig,16,2001,25,22,1961,21.8,1,,,1,0,0,0,0,0.05,,,0.05,,Matches
337,Fabio GroÃ,de GER,MF,NÃ¼rnberg,16,2001,24,24,2064,22.9,0,,,0,0,0,2,0,0,,,0,,Matches
338,Maximilian GroÃ,de GER,DF,Karlsruher,16,2001,12,6,586,6.5,0,,,0,0,0,1,0,0,,,0,,Matches
339,Richard GroÃ,de GER,MF,Magdeburg,14,2002,2,1,97,1.1,0,,,0,0,0,0,0,0,,,0,,Matches
340,Maximilian GroÃer,de GER,MF,Dresden,16,2001,26,26,2288,25.4,3,,,3,0,0,2,0,0.12,,,0.12,,Matches
341,Mick Gudra,de GER,FW,Schalke 04,16,2001,15,11,959,10.7,5,,,5,0,0,0,0,0.47,,,0.47,,Matches
342,Marco Gueli,de GER,FW,Heidenheim,16,2001,26,19,1644,18.3,5,,,5,0,0,1,0,0.27,,,0.27,,Matches
343,Maximilian Gundelach,de GER,GK,Werder Bremen,14,2002,2,1,113,1.3,0,,,0,0,0,0,0,0,,,0,,Matches
344,Jakob Gundermann,de GER,GK,Hamburger SV,16,2001,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
345,Ali GÃ¼ndogdu,de GER,"MF,DF",Hertha BSC,15,2001,23,8,1175,13.1,1,,,1,0,0,0,0,0.08,,,0.08,,Matches
346,Luca GÃ¼nther,de GER,"MF,DF",St Pauli,15,2001,24,22,1835,20.4,6,,,6,0,0,0,0,0.29,,,0.29,,Matches
347,SÃ¶nke GÃ¼nther,de GER,GK,Freiburg,16,2001,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
348,Sezcan GÃ¼rman,de GER,GK,Hombrucher U17,16,2001,8,8,720,8,0,,,0,0,0,0,0,0,,,0,,Matches
349,Justin Habel,de GER,"MF,DF",Magdeburg,16,2001,17,15,1430,15.9,3,,,3,0,0,1,0,0.19,,,0.19,,Matches
350,Moritz HÃ¤ckelmann,de GER,MF,Elversberg,13,2003,1,0,15,0.2,0,,,0,0,0,0,0,0,,,0,,Matches
351,Marvin Hahn,,MF,Wolfsburg,,,2,1,57,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
352,Gentrit Halimi,de GER,MF,Karlsruher,15,2002,3,3,212,2.4,0,,,0,0,0,0,0,0,,,0,,Matches
353,Laurens Hammermeister,de GER,FW,Werder Bremen,16,2001,11,10,913,10.1,0,,,0,0,0,1,0,0,,,0,,Matches
354,Ismail Harnafi,,FW,Gladbach,15,2002,1,0,37,0.4,2,,,2,0,0,0,0,4.86,,,4.86,,Matches
