  Rk, Player,Nation,Pos,Squad,Age,Born,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches
597,Ronald Lombaya,de GER,MF,Bayern Munich,16,2001,2,0,33,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
598,Marcel Lotka,pl POL,GK,Leverkusen,16,2001,25,25,2250,25,0,,,0,0,0,1,0,0,,,0,,Matches
599,Aurel Loubongo-M'Boungou,de GER,FW,St Pauli,16,2001,21,19,1661,18.5,4,,,3,1,1,2,0,0.22,,,0.16,,Matches
600,Ali Loune,ma MAR,"MF,DF",Eintracht Frankfurt,15,2002,16,15,1129,12.5,3,,,3,0,0,2,0,0.24,,,0.24,,Matches
601,Moritz LÃ¶we,de GER,GK,Unterhaching,15,2002,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
602,David Lozancic,de GER,GK,Stuttgarter Kickers,16,2001,6,4,488,5.4,0,,,0,0,0,0,0,0,,,0,,Matches
603,Nico LÃ¼bke,de GER,DF,Dortmund,16,2001,17,14,1313,14.6,0,,,0,0,0,0,0,0,,,0,,Matches
604,Juan Luca Steinbach,de GER,MF,Bochum,15,2001,6,2,246,2.7,1,,,1,0,0,0,0,0.37,,,0.37,,Matches
605,Dustin Luft,de GER,FW,Dresden,15,2002,8,8,536,6,3,,,3,0,0,0,0,0.5,,,0.5,,Matches
606,Carl Luis Ludosan,ro ROU,GK,Augsburg,16,2001,7,7,630,7,0,,,0,0,0,0,0,0,,,0,,Matches
607,RaÃºl Luisi,es ESP,"DF,MF",Mainz 05,16,2001,13,9,789,8.8,0,,,0,0,0,2,0,0,,,0,,Matches
608,Fynn Lukas Rottmann,de GER,MF,Hombrucher U17,16,2001,3,3,131,1.5,0,,,0,0,0,0,0,0,,,0,,Matches
609,Marsel Lustig,de GER,DF,NÃ¼rnberg,16,2001,21,20,1766,19.6,0,,,0,0,0,2,0,0,,,0,,Matches
610,Tidiane M'Baye,de GER,FW,Hoffenheim,16,2001,12,8,750,8.3,8,,,8,0,0,4,1,0.96,,,0.96,,Matches
611,Sebastian Mach,pl POL,"MF,DF",Hertha BSC,16,2001,15,12,1056,11.7,2,,,2,0,0,0,0,0.17,,,0.17,,Matches
612,Tim Maciejewski,de GER,MF,Union Berlin,16,2001,22,15,1388,15.4,5,,,5,0,0,0,0,0.32,,,0.32,,Matches
613,Mateusz MaÄkowiak,pl POL,DF,RB Leipzig,16,2001,16,11,1017,11.3,0,,,0,0,0,1,0,0,,,0,,Matches
614,Kelena Mahessa,de GER,MF,Viktoria KÃ¶ln,16,2001,12,2,433,4.8,0,,,0,0,0,1,0,0,,,0,,Matches
615,Niklas Mahler,de GER,MF,Hoffenheim,16,2001,16,11,1039,11.5,0,,,0,0,0,1,0,0,,,0,,Matches
616,Dino MahmutoviÄ,lu LUX,MF,Elversberg,16,2001,5,4,347,3.9,0,,,0,0,0,2,0,0,,,0,,Matches
617,Nico Mai,de GER,DF,Wolfsburg,16,2001,9,5,547,6.1,1,,,1,0,0,1,0,0.16,,,0.16,,Matches
618,Maximilian Maier,de GER,MF,Stuttgart,16,2001,25,21,1722,19.1,3,,,3,0,0,2,0,0.16,,,0.16,,Matches
619,Pascal Maier,de GER,GK,Elversberg,16,2001,13,13,1170,13,0,,,0,0,0,0,0,0,,,0,,Matches
620,Marius Mair,de GER,"MF,FW",Unterhaching,15,2002,10,5,415,4.6,0,,,0,0,0,0,0,0,,,0,,Matches
621,Jabez Makanda,ao ANG,FW,NÃ¼rnberg,15,2001,24,22,1933,21.5,22,,,19,3,3,3,0,1.02,,,0.88,,Matches
622,Jesper Maljojoki,de GER,"MF,DF",Unterhaching,,,6,6,540,6,0,,,0,0,0,0,0,0,,,0,,Matches
623,Marcel Mansfeld,de GER,"FW,MF",Mainz 05,16,2001,20,10,1058,11.8,6,,,6,0,0,0,0,0.51,,,0.51,,Matches
624,Ihab Mansour,de GER,MF,Union Berlin,14,2003,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
625,Valentin Manzenreiter,at AUT,GK,Alemannia Aachen,16,2001,4,4,360,4,0,,,0,0,0,0,0,0,,,0,,Matches
626,Luca Marcello Paura,de GER,MF,DÃ¼sseldorf,14,2002,1,0,31,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
627,Kingsley Marcinek,de GER,DF,Hombrucher U17,15,2001,17,14,1280,14.2,2,,,2,0,0,1,0,0.14,,,0.14,,Matches
628,Antonio MarinoviÄ,de GER,MF,Unterrath U17,15,2001,8,5,456,5.1,0,,,0,0,0,2,0,0,,,0,,Matches
629,Franjo Marjanovic,de GER,DF,NÃ¼rnberg,16,2001,5,4,233,2.6,0,,,0,0,0,0,0,0,,,0,,Matches
630,Henrik Markhoff,de GER,DF,Union Berlin,16,2001,14,7,695,7.7,0,,,0,0,0,1,0,0,,,0,,Matches
631,Salvatore Marrone,ro ROU,"MF,FW",NÃ¼rnberg,16,2001,17,6,709,7.9,2,,,2,0,0,2,0,0.25,,,0.25,,Matches
632,Louis Martin,de GER,"MF,FW",PreuÃen MÃ¼nster,16,2001,26,17,1516,16.8,2,,,2,0,0,1,0,0.12,,,0.12,,Matches
633,Danilo Martschinkowski,de GER,FW,Energie Cottbus,16,2001,15,15,1223,13.6,12,,,10,2,2,2,0,0.88,,,0.74,,Matches
634,Johannes MÃ¤rz,de GER,"MF,FW",PreuÃen MÃ¼nster,15,2001,24,18,1487,16.5,3,,,3,0,0,0,0,0.18,,,0.18,,Matches
635,Oguzhan Masalci,de GER,FW,Hamburger SV,16,2001,21,2,555,6.2,1,,,1,0,0,0,0,0.16,,,0.16,,Matches
636,Henri Matter,de GER,MF,KÃ¶ln,16,2001,22,20,1622,18,1,,,1,0,0,1,0,0.06,,,0.06,,Matches
637,Tobias Maus,de GER,DF,Unterhaching,15,2001,21,21,1890,21,0,,,0,0,0,2,0,0,,,0,,Matches
638,Jakob Mayer,de GER,GK,Bayern Munich,15,2001,17,17,1530,17,0,,,0,0,0,0,0,0,,,0,,Matches
639,Leo Mayka,de GER,MF,Hombrucher U17,15,2001,20,9,937,10.4,1,,,1,0,0,3,0,0.1,,,0.1,,Matches
640,David Mayser,de GER,"MF,FW",Unterhaching,16,2001,10,4,395,4.4,0,,,0,0,0,1,0,0,,,0,,Matches
641,Can Mehmet Pohl,de GER,DF,PreuÃen MÃ¼nster,16,2001,16,16,1440,16,0,,,0,0,0,5,0,0,,,0,,Matches
642,Fabio Meikis,de GER,FW,Unterhaching,16,2001,14,14,1064,11.8,7,,,7,0,0,0,0,0.59,,,0.59,,Matches
643,Marvin MeiÃner,de GER,FW,Holstein Kiel,15,2001,3,2,120,1.3,1,,,1,0,0,0,0,0.75,,,0.75,,Matches
644,Joey Meister,de GER,MF,Wolfsburg,16,2001,3,0,65,0.7,0,,,0,0,0,0,0,0,,,0,,Matches
645,Joey Meister,de GER,MF,Kaiserslautern,16,2001,4,2,125,1.4,0,,,0,0,0,2,0,0,,,0,,Matches
646,Daniel Melchner,de GER,"DF,MF",NÃ¼rnberg,15,2001,16,14,1093,12.1,0,,,0,0,0,4,0,0,,,0,,Matches
647,Lucas Melchner,de GER,MF,NÃ¼rnberg,15,2001,11,2,274,3,0,,,0,0,0,0,0,0,,,0,,Matches
648,Kenny Melkus,de GER,MF,Dresden,15,2001,12,1,283,3.1,0,,,0,0,0,1,0,0,,,0,,Matches
649,Sebastian Mellack,de GER,GK,Wolfsburg,16,2001,9,8,745,8.3,0,,,0,0,0,0,0,0,,,0,,Matches
650,Gustavo Melo,de GER,"MF,DF",St Pauli,16,2001,23,23,2004,22.3,1,,,1,0,0,2,1,0.04,,,0.04,,Matches
651,Malik MemiÅ¡eviÄ,ba BIH,FW,Werder Bremen,16,2001,24,24,2135,23.7,20,,,16,4,4,4,0,0.84,,,0.67,,Matches
652,David Mende,de GER,FW,BTSV,16,2001,26,20,1702,18.9,3,,,3,0,0,1,0,0.16,,,0.16,,Matches
653,Tim Mertens,de GER,MF,Wolfsburg,16,2001,9,8,650,7.2,3,,,3,0,0,2,0,0.42,,,0.42,,Matches
654,Yannick Mertens,de GER,MF,Alemannia Aachen,15,2002,7,5,439,4.9,1,,,1,0,0,0,0,0.21,,,0.21,,Matches
655,Soufiane Messeguem,de GER,MF,Wolfsburg,16,2001,25,22,1941,21.6,2,,,2,0,0,3,0,0.09,,,0.09,,Matches
656,Levent Meydaner,de GER,MF,Holstein Kiel,16,2001,3,1,142,1.6,0,,,0,0,0,0,0,0,,,0,,Matches
657,Gordon Meyer,de GER,MF,Bochum,16,2001,3,1,100,1.1,0,,,0,0,0,0,0,0,,,0,,Matches
658,Gordon Meyer,de GER,"MF,DF",Hombrucher U17,16,2001,11,11,990,11,0,,,0,0,0,1,0,0,,,0,,Matches
659,Jordan Meyer,de GER,MF,Stuttgart,15,2002,18,17,1247,13.9,3,,,3,0,0,2,0,0.22,,,0.22,,Matches
660,Luca Meyer,de GER,DF,Kaiserslautern,15,2001,11,8,804,8.9,0,,,0,0,0,2,0,0,,,0,,Matches
661,Tony Meyer,de GER,MF,Magdeburg,16,2001,8,1,283,3.1,0,,,0,0,0,1,0,0,,,0,,Matches
662,Ricardo Michael,de GER,"DF,MF",Dresden,15,2002,17,16,1336,14.8,1,,,1,0,0,2,0,0.07,,,0.07,,Matches
663,Kokou Michel Amorin,de GER,MF,Hamburger SV,16,2001,20,8,950,10.6,2,,,2,0,0,1,0,0.19,,,0.19,,Matches
664,Falko Michel,de GER,DF,Freiburg,16,2001,18,14,1301,14.5,0,,,0,0,0,1,0,0,,,0,,Matches
665,Jonas Michelbrink,de GER,MF,Hertha BSC,16,2001,26,26,1857,20.6,3,,,3,0,0,2,0,0.15,,,0.15,,Matches
666,Corvin Michelsen,de GER,FW,EimsbÃ¼ttel U17,15,2001,20,18,1416,15.7,4,,,4,0,0,1,0,0.25,,,0.25,,Matches
667,Ivan Mihaljevic,hr CRO,DF,Unterhaching,16,2001,23,23,2070,23,6,,,3,3,3,3,0,0.26,,,0.13,,Matches
668,Marvin Mika,de GER,"MF,DF",Arminia,16,2001,16,11,1043,11.6,0,,,0,0,0,3,0,0,,,0,,Matches
669,Christian Mistl,de GER,"MF,DF",Stuttgart,15,2001,26,19,1787,19.9,0,,,0,0,0,4,0,0,,,0,,Matches
670,Thomas Mitsakos,de GER,MF,Augsburg,15,2002,7,6,422,4.7,0,,,0,0,0,1,0,0,,,0,,Matches
671,Panagiotis Mitsopoulos,de GER,"MF,FW",Dresden,15,2001,6,4,340,3.8,1,,,1,0,0,0,0,0.26,,,0.26,,Matches
672,Finn Modler,de GER,"MF,DF",KÃ¶ln,16,2001,13,3,337,3.7,1,,,1,0,0,0,0,0.27,,,0.27,,Matches
673,Tristan Mohn,de GER,GK,Mainz 05,15,2002,3,2,247,2.7,0,,,0,0,0,0,0,0,,,0,,Matches
674,Joris MÃ¶ller,de GER,"FW,MF",Union Berlin,16,2001,22,20,1679,18.7,5,,,5,0,0,1,0,0.27,,,0.27,,Matches
675,Justin MÃ¶llering,de GER,GK,DÃ¼sseldorf,16,2001,13,13,1170,13,0,,,0,0,0,1,0,0,,,0,,Matches
676,Gianni Mollo,it ITA,"FW,MF",Heidenheim,16,2001,24,24,2058,22.9,5,,,4,1,2,2,0,0.22,,,0.17,,Matches
677,Francesco Monaco,de GER,DF,Augsburg,15,2002,2,0,40,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
678,Dennis MÃ¶nig,de GER,GK,Arminia,16,2001,4,4,339,3.8,0,,,0,0,0,1,1,0,,,0,,Matches
679,Noah Moreno-Silva,de GER,DF,BTSV,16,2001,20,19,1557,17.3,0,,,0,0,0,3,0,0,,,0,,Matches
680,Marlon Morgenstern,de GER,"DF,MF",Hertha BSC,16,2001,19,19,1544,17.2,1,,,1,0,0,1,0,0.06,,,0.06,,Matches
681,Moritz Mosandl,de GER,MF,Bayern Munich,15,2002,5,3,272,3,0,,,0,0,0,0,0,0,,,0,,Matches
682,Youssoufa Moukoko,de GER,FW,Dortmund,12,2004,25,23,2032,22.6,37,,,31,6,6,3,0,1.64,,,1.37,,Matches
683,Dzenan Mucic,de GER,"FW,MF",Bochum,16,2001,20,17,1387,15.4,5,,,5,0,0,2,0,0.32,,,0.32,,Matches
684,Tom Muhlack,de GER,DF,Hamburger SV,16,2001,17,15,1275,14.2,0,,,0,0,0,2,0,0,,,0,,Matches
685,Adin MujanoviÄ,at AUT,DF,Stuttgart,16,2001,1,0,25,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
686,Albion Muli,de GER,DF,Holstein Kiel,16,2001,10,9,799,8.9,1,,,1,0,0,3,0,0.11,,,0.11,,Matches
687,Hendrik MÃ¼ller,de GER,MF,Hamburger SV,16,2001,8,2,293,3.3,1,,,1,0,0,0,0,0.31,,,0.31,,Matches
688,Luis MÃ¼ller,de GER,MF,KÃ¶ln,16,2001,17,11,973,10.8,6,,,6,0,0,0,0,0.55,,,0.55,,Matches
689,Lukas MÃ¼ller,de GER,"DF,MF",Unterrath U17,16,2001,22,20,1579,17.5,0,,,0,0,0,0,0,0,,,0,,Matches
690,Niclas MÃ¼ller,de GER,GK,RB Leipzig,15,2001,16,16,1398,15.5,0,,,0,0,0,1,0,0,,,0,,Matches
691,Nils MÃ¼ller,de GER,MF,Energie Cottbus,15,2001,18,3,619,6.9,1,,,1,0,0,1,0,0.15,,,0.15,,Matches
692,Sebastian MÃ¼ller,de GER,FW,KÃ¶ln,16,2001,17,16,1403,15.6,11,,,8,3,3,1,0,0.71,,,0.51,,Matches
693,Tim-Alexander MÃ¼ller,de GER,GK,Gladbach,15,2002,4,4,360,4,0,,,0,0,0,0,0,0,,,0,,Matches
694,Nick MÃ¼nch,de GER,DF,Schalke 04,16,2001,25,25,2115,23.5,0,,,0,0,0,3,0,0,,,0,,Matches
695,Leonhard MÃ¼nst,de GER,MF,Stuttgart,15,2002,1,0,42,0.5,1,,,1,0,0,0,0,2.14,,,2.14,,Matches
696,Sahan MÃ¼rsel Sahin,az AZE,"MF,DF",Arminia,15,2001,19,18,1608,17.9,1,,,1,0,0,4,0,0.06,,,0.06,,Matches
697,Till Muschkowski,de GER,FW,Union Berlin,16,2001,11,10,870,9.7,3,,,3,0,0,1,0,0.31,,,0.31,,Matches
698,SÃ¶ren MÃ¼sel,de GER,"DF,MF",Kaiserslautern,16,2001,21,20,1798,20,2,,,2,0,0,2,0,0.1,,,0.1,,Matches
699,Julian MÃ¼Ãigbrodt,de GER,GK,Magdeburg,16,2001,16,16,1440,16,0,,,0,0,0,0,0,0,,,0,,Matches
700,Abdenego Nankishi,de GER,FW,Werder Bremen,15,2002,3,2,156,1.7,0,,,0,0,0,0,0,0,,,0,,Matches
701,Niklas Nannt,de GER,MF,Werder Bremen,16,2001,17,12,926,10.3,4,,,4,0,0,1,0,0.39,,,0.39,,Matches
702,Alec Nathe,de GER,DF,Dresden,16,2001,26,25,2245,24.9,0,,,0,0,0,1,0,0,,,0,,Matches
703,Robin Nathmann,de GER,GK,Holstein Kiel,16,2001,7,7,630,7,0,,,0,0,0,1,0,0,,,0,,Matches
704,Maik Nawrocki,pl POL,DF,Werder Bremen,16,2001,20,20,1776,19.7,7,,,7,0,0,8,1,0.35,,,0.35,,Matches
705,Samir Nazari,de GER,MF,BTSV,14,2002,12,4,454,5,1,,,1,0,0,0,0,0.2,,,0.2,,Matches
706,Daniel Ndouop,de GER,DF,DÃ¼sseldorf,15,2002,1,0,31,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
707,Sengan Ndure,de GER,MF,BTSV,16,2001,7,5,337,3.7,0,,,0,0,0,0,0,0,,,0,,Matches
708,Alex Nebe,de GER,"DF,MF",Freiburg,15,2001,12,6,600,6.7,0,,,0,0,0,0,0,0,,,0,,Matches
709,Paul Nebel,de GER,MF,Mainz 05,14,2002,5,5,402,4.5,1,,,1,0,0,1,0,0.22,,,0.22,,Matches
710,Luca Netz,de GER,"FW,MF",Hertha BSC,14,2003,7,7,573,6.4,0,,,0,0,0,1,0,0,,,0,,Matches
711,Jannis Neugebauer,de GER,"MF,DF",Hannover 96,16,2001,24,24,2026,22.5,5,,,4,1,1,4,0,0.22,,,0.18,,Matches
712,Tim Neugebauer,de GER,"MF,DF",Hombrucher U17,16,2001,22,22,1914,21.3,0,,,0,0,0,2,0,0,,,0,,Matches
713,Maurice Neukirch,de GER,DF,Kaiserslautern,15,2001,22,14,1346,15,0,,,0,0,0,6,0,0,,,0,,Matches
714,Simon Neumann,de GER,FW,Energie Cottbus,15,2002,2,0,23,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
715,Johannes Niehoff,de GER,MF,PreuÃen MÃ¼nster,16,2001,3,0,56,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
716,Julian Niehues,de GER,MF,PreuÃen MÃ¼nster,16,2001,22,22,1817,20.2,4,,,1,3,3,3,0,0.2,,,0.05,,Matches
717,Fabian NieÃen,de GER,FW,Alemannia Aachen,14,2002,10,4,511,5.7,0,,,0,0,0,0,0,0,,,0,,Matches
718,Etienne Nikol,de GER,FW,Union Berlin,15,2002,1,1,90,1,1,,,1,0,0,0,0,1,,,1,,Matches
719,Cosmo Nitsch,de GER,"DF,MF",Holstein Kiel,16,2001,17,9,1014,11.3,0,,,0,0,0,2,0,0,,,0,,Matches
720,Adrian Nkansah Apau,de GER,MF,EimsbÃ¼ttel U17,15,2002,1,0,17,0.2,0,,,0,0,0,0,0,0,,,0,,Matches
721,Tobias Noack,de GER,"FW,MF",MSV Duisburg,16,2001,8,5,328,3.6,1,,,1,0,0,0,0,0.27,,,0.27,,Matches
722,Louis Noah Thamke,de GER,"MF,DF",Energie Cottbus,15,2001,24,21,1770,19.7,0,,,0,0,0,2,0,0,,,0,,Matches
723,Joshua Noel Knipp,de GER,DF,Hamburger SV,16,2001,4,1,108,1.2,0,,,0,0,0,0,0,0,,,0,,Matches
724,Elias Nonnenmann,de GER,MF,Stuttgart,16,2001,18,6,652,7.2,3,,,3,0,0,1,0,0.41,,,0.41,,Matches
725,Connor NoÃ,ie IRL,MF,Gladbach,16,2001,23,23,1768,19.6,6,,,6,0,0,1,0,0.31,,,0.31,,Matches
726,Quirin Nuber,de GER,DF,Unterhaching,15,2002,3,0,132,1.5,0,,,0,0,0,0,0,0,,,0,,Matches
727,Luka NujiÄ,hr CRO,GK,Stuttgarter Kickers,15,2001,1,0,44,0.5,0,,,0,0,0,0,0,0,,,0,,Matches
728,Alexander Nwokolo,de GER,DF,MSV Duisburg,16,2001,22,19,1778,19.8,1,,,1,0,0,1,0,0.05,,,0.05,,Matches
729,Timon Obermeier,de GER,DF,Unterhaching,14,2003,1,0,16,0.2,0,,,0,0,0,0,0,0,,,0,,Matches
730,Marvin Obuz,de GER,"MF,FW",KÃ¶ln,15,2002,26,25,2067,23,8,,,8,0,0,1,0,0.35,,,0.35,,Matches
731,Dennis Oduro,de GER,MF,KÃ¶ln,15,2001,14,3,546,6.1,0,,,0,0,0,1,0,0,,,0,,Matches
732,Michael Oelkers,de GER,DF,St Pauli,16,2001,7,4,428,4.8,0,,,0,0,0,0,0,0,,,0,,Matches
733,Fritz Oestreicher,de GER,DF,Eintracht Frankfurt,16,2001,15,11,1014,11.3,0,,,0,0,0,1,0,0,,,0,,Matches
734,Shalva Ogbaidze,ge GEO,"MF,FW",Magdeburg,14,2002,22,20,1597,17.7,5,,,5,0,0,3,0,0.28,,,0.28,,Matches
735,Theo Ogbidi,de GER,"FW,MF",Magdeburg,16,2001,25,24,2036,22.6,5,,,5,0,0,1,0,0.22,,,0.22,,Matches
736,Terence Okoeguale,de GER,MF,Viktoria KÃ¶ln,16,2001,21,13,1350,15,5,,,5,0,0,1,0,0.33,,,0.33,,Matches
737,Jan Olschowsky,de GER,GK,Gladbach,15,2001,18,18,1620,18,0,,,0,0,0,0,0,0,,,0,,Matches
738,Amadou Onana,be BEL,"MF,DF",Hoffenheim,15,2001,16,15,1066,11.8,0,,,0,0,0,3,0,0,,,0,,Matches
739,Felix Onischke,de GER,"MF,FW",RB Leipzig,16,2001,17,3,488,5.4,4,,,4,0,0,1,0,0.74,,,0.74,,Matches
740,Samed Onur,tr TUR,MF,Leverkusen,15,2002,15,3,479,5.3,3,,,3,0,0,0,0,0.56,,,0.56,,Matches
741,Leo Oppermann,de GER,GK,Union Berlin,15,2001,21,21,1816,20.2,0,,,0,0,0,1,0,0,,,0,,Matches
742,Samuel Ãrs,de GER,"FW,MF",Dortmund,16,2001,6,3,251,2.8,0,,,0,0,0,0,0,0,,,0,,Matches
743,Nils Orywol,de GER,"DF,FW",Eintracht Frankfurt,15,2001,18,16,1300,14.4,0,,,0,0,0,0,0,0,,,0,,Matches
744,David Osei,de GER,FW,Eintracht Frankfurt,15,2002,1,0,16,0.2,0,,,0,0,0,0,0,0,,,0,,Matches
745,Bajrush Osmani,xk KVX,FW,Hombrucher U17,15,2001,25,25,2185,24.3,3,,,3,0,0,6,0,0.12,,,0.12,,Matches
746,Dorian Osmanollaj,xk KVX,DF,DÃ¼sseldorf,16,2001,4,2,204,2.3,0,,,0,0,0,1,0,0,,,0,,Matches
747,Adrian Ostach,de GER,DF,Energie Cottbus,16,2001,20,20,1693,18.8,4,,,4,0,0,4,1,0.21,,,0.21,,Matches
748,Bruno Ott,de GER,DF,Hertha BSC,15,2001,1,0,16,0.2,0,,,0,0,0,0,0,0,,,0,,Matches
749,Fynn Otto,de GER,DF,Eintracht Frankfurt,15,2002,20,17,1539,17.1,3,,,3,0,0,1,0,0.18,,,0.18,,Matches
750,Lorenz Otto,de GER,GK,Kaiserslautern,16,2001,26,26,2340,26,0,,,0,0,0,0,0,0,,,0,,Matches
751,Maximilian Otto,de GER,GK,Stuttgarter Kickers,15,2002,2,2,180,2,0,,,0,0,0,0,0,0,,,0,,Matches
752,Melik Ben El Ouahmi,de GER,"FW,MF",Arminia,16,2001,24,20,1603,17.8,1,,,1,0,0,1,0,0.06,,,0.06,,Matches
753,Elias Oubella,de GER,DF,KÃ¶ln,16,2001,24,24,2077,23.1,0,,,0,0,0,0,1,0,,,0,,Matches
754,Dennis Owusu,de GER,MF,Mainz 05,16,2001,10,4,396,4.4,1,,,1,0,0,0,0,0.23,,,0.23,,Matches
755,Tolga Ãzdemir,tr TUR,"MF,DF",Bochum,15,2002,5,4,299,3.3,0,,,0,0,0,0,0,0,,,0,,Matches
756,Alper Ãzdogan,tr TUR,"FW,MF",Kaiserslautern,16,2001,20,10,926,10.3,0,,,0,0,0,1,0,0,,,0,,Matches
757,Kaan Ãzkaya,de GER,"MF,DF",Hoffenheim,15,2002,10,10,816,9.1,0,,,0,0,0,0,0,0,,,0,,Matches
758,Mert Ãzkaya,de GER,DF,Hoffenheim,15,2002,1,1,90,1,0,,,0,0,0,1,0,0,,,0,,Matches
759,Asmar Paenda,de GER,MF,Schalke 04,14,2002,7,3,428,4.8,0,,,0,0,0,0,0,0,,,0,,Matches
760,Ware Pakia,de GER,"MF,FW",Dortmund,15,2002,10,6,563,6.3,3,,,3,0,0,0,0,0.48,,,0.48,,Matches
761,VÃ­tor Palmeira,br BRA,MF,Kaiserslautern,16,2001,5,0,128,1.4,0,,,0,0,0,0,0,0,,,0,,Matches
762,Florian Palmowski,de GER,GK,Hertha BSC,16,2001,19,19,1710,19,0,,,0,0,0,0,0,0,,,0,,Matches
763,Patric-Dominic Panait,de GER,FW,Unterrath U17,16,2001,8,3,356,4,0,,,0,0,0,1,0,0,,,0,,Matches
764,Sebastian Papalia,de GER,"DF,MF",KÃ¶ln,15,2002,23,19,1429,15.9,0,,,0,0,0,4,0,0,,,0,,Matches
765,Merveille Papela,de GER,"MF,DF",Mainz 05,16,2001,25,25,2097,23.3,5,,,3,2,2,3,0,0.21,,,0.13,,Matches
766,Marcos Pappas,de GER,"FW,MF",Hannover 96,16,2001,19,9,758,8.4,0,,,0,0,0,0,0,0,,,0,,Matches
767,Benjamin Patay,de GER,"DF,MF",Freiburg,15,2002,6,4,385,4.3,0,,,0,0,0,0,0,0,,,0,,Matches
768,Moritz Pauli,de GER,MF,PreuÃen MÃ¼nster,16,2001,15,9,812,9,0,,,0,0,0,1,0,0,,,0,,Matches
769,Nahne Paulsen,de GER,"DF,MF",Holstein Kiel,16,2001,24,24,2010,22.3,1,,,1,0,0,3,0,0.04,,,0.04,,Matches
770,Filip Pavlovic,de GER,DF,Hannover 96,15,2002,1,0,16,0.2,0,,,0,0,0,1,0,0,,,0,,Matches
771,Dragan PeroÅ¡eviÄ,rs SRB,FW,Heidenheim,15,2001,19,10,789,8.8,3,,,3,0,0,2,0,0.34,,,0.34,,Matches
772,Remi Peter Jonathans,lu LUX,"MF,FW",Mainz 05,16,2001,9,3,350,3.9,3,,,3,0,0,0,0,0.77,,,0.77,,Matches
773,Mattes Petereit,de GER,DF,BTSV,16,2001,26,26,2340,26,2,,,2,0,0,4,0,0.08,,,0.08,,Matches
774,Nicolas Peterfy,,DF,Unterhaching,,,1,0,31,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
775,Paul Petermann,de GER,FW,Union Berlin,16,2001,21,18,1461,16.2,9,,,9,0,0,3,0,0.55,,,0.55,,Matches
776,Nikita Petrov,de GER,MF,Mainz 05,15,2002,1,0,29,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
777,Leander Petry,de GER,"MF,DF",BTSV,16,2001,25,25,2186,24.3,1,,,0,1,1,3,0,0.04,,,0,,Matches
778,Luca Petzold,de GER,GK,NÃ¼rnberg,15,2001,5,5,450,5,0,,,0,0,0,0,0,0,,,0,,Matches
779,Jonas Pfalz,de GER,MF,Gladbach,16,2001,10,10,900,10,4,,,4,0,0,1,0,0.4,,,0.4,,Matches
780,David Pfeil,de GER,DF,NÃ¼rnberg,16,2001,24,24,2070,23,0,,,0,0,0,0,0,0,,,0,,Matches
781,Till Pfleging,de GER,"DF,MF",Unterrath U17,15,2001,11,8,717,8,0,,,0,0,0,0,0,0,,,0,,Matches
782,Immanuel Pherai,sr SUR,MF,Dortmund,16,2001,23,22,1826,20.3,9,,,9,0,0,5,1,0.44,,,0.44,,Matches
783,Nemo Philipp,de GER,"MF,FW",St Pauli,15,2001,23,18,1309,14.5,1,,,0,1,1,2,0,0.07,,,0,,Matches
784,Marc Pichelmann,de GER,DF,St Pauli,16,2001,22,22,1955,21.7,0,,,0,0,0,2,0,0,,,0,,Matches
785,Luca Piljek,de GER,MF,Heidenheim,16,2001,25,24,1990,22.1,7,,,7,0,0,3,0,0.32,,,0.32,,Matches
786,Nicolai Placzek,de GER,"MF,DF",Freiburg,16,2001,11,9,861,9.6,2,,,0,2,2,0,1,0.21,,,0,,Matches
787,Tom Planitz,de GER,GK,BTSV,16,2001,22,22,1980,22,0,,,0,0,0,0,0,0,,,0,,Matches
788,Julian Pohlai,de GER,DF,BTSV,16,2001,18,16,1470,16.3,0,,,0,0,0,8,0,0,,,0,,Matches
789,Ole Pohlmann,de GER,"MF,FW",Wolfsburg,16,2001,20,18,1580,17.6,9,,,5,4,4,3,0,0.51,,,0.28,,Matches
790,Mikail Polat,de GER,MF,Werder Bremen,14,2003,1,0,32,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
791,Oliver PÃ¶llmann,de GER,DF,Magdeburg,16,2001,22,22,1918,21.3,1,,,1,0,0,3,0,0.05,,,0.05,,Matches
792,Marius Popke,,"MF,FW",Magdeburg,,,12,7,725,8.1,0,,,0,0,0,3,0,0,,,0,,Matches
