Player,Nation_std,Pos_std,Squad_std,Born_std,Playing Time_MP_std,Playing Time_Starts,Playing Time_Min_std,Playing Time_90s_std,Performance_Gls,Performance_G-PK,Performance_PK,Performance_PKatt,Per 90 Minutes_Gls,Per 90 Minutes_G-PK,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_match,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Sissis Efthimiou,de GER,GK,Eintracht Frankfurt,2006,3,3,270,3.0,0,0,0,0,0.00,0.00,90,12.5,3.0,3,90,3,0,,12,0.00,4,11,-7,-2.33,-4.10
Mika Egdmann,de GER,MF,Hoffenheim,2008,1,0,31,0.3,0,0,0,0,0.00,0.00,31,1.4,0.3,0,,0,1,31,0,0.00,2,2,0,0.00,-0.89
Ajdin Eglenović,de GER,MF,Alemannia Aachen,2006,27,22,1960,21.8,4,4,0,0,0.18,0.18,73,77.8,21.8,22,85,12,5,19,1,1.33,33,39,-6,-0.28,+0.05
Noah Egouli,de GER,DF,Düsseldorf,2006,21,13,1285,14.3,0,0,0,0,0.00,0.00,61,59.5,14.3,13,87,9,8,19,2,1.86,26,16,+10,+0.70,-0.43
Benedikt Ehe,de GER,MF,Ulm,2007,26,26,2192,24.4,0,0,0,0,0.00,0.00,84,93.7,24.4,26,84,16,0,,0,1.04,44,67,-23,-0.94,+0.88
Niklas Eichholz,de GER,MF,Magdeburg,2007,15,11,1002,11.1,1,1,0,0,0.09,0.09,67,42.8,11.1,11,76,5,4,41,0,1.93,50,25,+25,+2.25,+2.04
Kennet Eichhorn,de GER,FW,Hertha BSC,2009,2,2,180,2.0,1,1,0,0,0.50,0.50,90,8.3,2.0,2,90,2,0,,0,2.00,3,2,+1,+0.50,+1.14
Isaiah Eichie,de GER,DF,Leverkusen,2007,16,11,1114,12.4,0,0,0,0,0.00,0.00,70,51.6,12.4,11,86,9,5,33,6,2.26,24,19,+5,+0.40,-1.14
Benjamin Eichner,de GER,DF,Nürnberg,2007,12,8,706,7.8,0,0,0,0,0.00,0.00,59,30.2,7.8,8,75,2,4,27,2,2.00,22,16,+6,+0.76,+0.05
Jonas Eilers,de GER,MF,Osnabrück,2006,22,22,1891,21.0,2,2,0,0,0.10,0.10,86,80.8,21.0,22,86,20,0,,0,0.91,23,41,-18,-0.86,-0.66
Lennox Eilke,de GER,MF,Dresden,2007,24,14,1300,14.4,1,1,0,0,0.07,0.07,54,55.6,14.4,14,77,5,10,22,2,1.67,31,26,+5,+0.35,-1.47
Luke Eismann,de GER,MF,TuS Königsdorf,2006,8,7,675,7.5,4,4,0,0,0.53,0.53,84,53.6,7.5,7,90,7,1,45,0,0.50,12,21,-9,-1.20,+0.18
Ben Ekobena-Seeger,de GER,MF,Magdeburg,2007,16,7,733,8.1,0,0,0,0,0.00,0.00,46,31.3,8.1,7,64,2,9,31,0,1.69,27,23,+4,+0.49,-0.85
Zakaria Elhankouri,de GER,MF,Rot-Weiss Essen,2006,23,17,1491,16.6,0,0,0,0,0.00,0.00,65,63.7,16.6,17,79,10,6,24,0,1.09,27,32,-5,-0.30,+0.44
Suheib Elias Ali,ps PLE,MF,Union Berlin,2007,11,6,603,6.7,3,3,0,0,0.45,0.45,55,27.9,6.7,6,88,5,5,15,2,1.27,8,17,-9,-1.34,-1.81
Ilias Elyazidi,de GER,DF,Kaiserslautern,2006,14,12,907,10.1,3,2,1,1,0.30,0.20,65,36.0,10.1,12,72,4,2,22,0,2.00,24,14,+10,+0.99,-0.18
Arijan Emini,de GER,MF,Energie Cottbus,2006,3,2,168,1.9,0,0,0,0,0.00,0.00,56,7.2,1.9,2,75,1,1,19,0,1.00,1,9,-8,-4.29,-4.12
Erik Emmerich,de GER,DF,Erzgebirge Aue,2006,19,13,1187,13.2,0,0,0,0,0.00,0.00,62,50.7,13.2,13,85,10,6,13,2,1.47,26,22,+4,+0.30,+0.54
Fritz Engel,de GER,DF,Mainz 05,2006,23,13,1210,13.4,6,6,0,0,0.45,0.45,53,56.0,13.4,13,77,4,10,21,0,1.67,32,19,+13,+0.97,+0.40
Jakob Engel,de GER,MF,Greuther Fürth,2006,12,12,1080,12.0,1,1,0,0,0.08,0.08,90,42.9,12.0,12,90,12,0,,0,0.67,18,38,-20,-1.67,-1.29
Oskar Engel,de GER,DF,Union Berlin,2008,2,0,46,0.5,0,0,0,0,0.00,0.00,23,2.1,0.5,0,,0,2,23,0,0.00,0,5,-5,-9.78,-9.95
Ibrahim Engin,de GER,DF,Arminia,2008,1,0,11,0.1,0,0,0,0,0.00,0.00,11,0.4,0.1,0,,0,1,11,0,3.00,1,0,+1,+8.18,+7.57
Quentin Enold,de GER,MF,Dresden,2008,7,5,392,4.4,1,1,0,0,0.23,0.23,56,16.8,4.4,5,68,0,2,27,1,1.86,12,6,+6,+1.38,+0.45
Osagbovo Enomamiuse,de GER,FW,Greuther Fürth,2006,16,6,636,7.1,4,4,0,0,0.57,0.57,40,25.2,7.1,6,58,1,10,29,0,1.19,16,15,+1,+0.14,+1.43
Jannis Erbel,de GER,MF,Elversberg,2006,17,12,944,10.5,0,0,0,0,0.00,0.00,56,37.5,10.5,12,64,3,5,36,0,0.53,13,29,-16,-1.53,-0.50
Batuhan Erdoğan,de GER,FW,Saarbrücken,2007,26,15,1191,13.2,1,1,0,0,0.08,0.08,46,47.3,13.2,15,64,1,11,21,1,0.42,16,47,-31,-2.34,-0.04
Emirhan Erdoğan,de GER,MF,Saarbrücken,2007,25,24,1919,21.3,5,5,0,0,0.23,0.23,77,76.2,21.3,24,79,7,1,29,0,0.48,21,69,-48,-2.25,+0.29
Emre Erdoğan,,FW,1860 Munich,2007,23,23,1809,20.1,9,8,1,1,0.45,0.40,79,83.8,20.1,23,79,3,0,,0,1.52,39,35,+4,+0.20,+0.71
Paul Erevbenagie,de GER,MF,Werder Bremen,2007,18,9,905,10.1,5,5,0,0,0.50,0.50,50,41.9,10.1,9,78,3,9,23,0,1.76,20,14,+6,+0.60,-0.62
Luca Erhart,de GER,DF,Ulm,2007,7,0,113,1.3,0,0,0,0,0.00,0.00,16,4.8,1.3,0,,0,7,16,3,0.86,1,4,-3,-2.39,-1.46
Leon Erkocaoğlan,de GER,FW,1860 Munich,2007,1,1,90,1.0,0,0,0,0,0.00,0.00,90,4.2,1.0,1,90,1,0,,14,3.00,1,0,+1,+1.00,+0.96
Luca Erlein,de GER,DF,Hoffenheim,2007,19,18,1430,15.9,0,0,0,0,0.00,0.00,75,66.2,15.9,18,77,10,1,45,0,1.89,46,27,+19,+1.20,+0.95
Berkan Ermec,,FW,Leverkusen,2008,1,0,30,0.3,0,0,0,0,0.00,0.00,30,1.4,0.3,0,,0,1,30,0,1.00,0,0,0,0.00,-0.97
Ediz Eroglu,de GER,FW,St Pauli,2007,18,12,991,11.0,7,7,0,0,0.64,0.64,55,42.4,11.0,12,72,2,6,20,0,1.39,23,24,-1,-0.09,+0.04
Paul Ervens,de GER,GK,Alemannia Aachen,2007,26,26,2340,26.0,0,0,0,0,0.00,0.00,90,92.9,26.0,26,90,26,0,,1,1.35,36,44,-8,-0.31,-0.31
Taycan Etcıbaşı,de GER,FW,Dortmund,2007,22,17,1518,16.9,7,7,0,0,0.42,0.42,69,70.3,16.9,17,76,7,5,46,0,2.27,52,17,+35,+2.08,+0.11
Dennis Etemovski,de GER,FW,Düsseldorf,2008,1,0,52,0.6,0,0,0,0,0.00,0.00,52,2.4,0.6,0,,0,1,52,0,0.00,1,3,-2,-3.46,-4.44
Elias Etringer,de GER,GK,Freiburg,2007,9,9,799,8.9,0,0,0,0,0.00,0.00,89,34.1,8.9,9,89,8,0,,15,1.78,20,12,+8,+0.90,+0.49
Jad Fadl,sy SYR,MF,Energie Cottbus,2009,9,7,618,6.9,1,1,0,0,0.15,0.15,69,26.4,6.9,7,78,1,2,35,1,1.22,10,10,0,0.00,+0.63
Younan Faghir Afghani,de GER,FW,St Pauli,2008,2,0,58,0.6,0,0,0,0,0.00,0.00,29,2.5,0.6,0,,0,2,29,0,1.50,2,1,+1,+1.55,+1.71
Luke Fahrenhorst,de GER,MF,Dortmund,2008,2,0,73,0.8,0,0,0,0,0.00,0.00,37,3.4,0.8,0,,0,2,37,0,2.00,1,0,+1,+1.23,-0.84
Daniel Fairman,de GER,DF,FSV Frankfurt,2006,4,4,319,3.5,0,0,0,0,0.00,0.00,80,12.7,3.5,4,80,3,0,,0,1.75,5,5,0,0.00,-0.16
Jamal Faizy,de GER,MF,Eintracht Norderstedt,2006,8,6,549,6.1,0,0,0,0,0.00,0.00,69,50.8,6.1,6,83,3,2,26,2,0.88,12,22,-10,-1.64,-0.62
Linus Falck,de GER,FW,Unterhaching,2006,11,1,281,3.1,1,1,0,0,0.32,0.32,26,13.0,3.1,1,71,0,10,21,1,1.09,7,7,0,0.00,-0.10
Robin Falk,de GER,MF,Hansa Rostock,2007,21,17,1421,15.8,0,0,0,0,0.00,0.00,68,63.2,15.8,17,79,8,4,20,1,1.43,41,41,0,0.00,+0.65
Mactar Fall,sn SEN,FW,Viktoria Berlin,2006,7,3,334,3.7,1,1,0,0,0.27,0.27,48,30.9,3.7,3,74,1,4,28,0,1.00,5,8,-3,-0.81,-0.81
Djamal Faram,tg TOG,FW,Freiburg,2008,1,0,30,0.3,0,0,0,0,0.00,0.00,30,1.3,0.3,0,,0,1,30,0,3.00,0,0,0,0.00,-0.58
Elias Fard,de GER,DF,Gladbach,2008,21,21,1878,20.9,1,1,0,0,0.05,0.05,89,86.9,20.9,21,89,20,0,,0,2.14,55,19,+36,+1.73,-0.19
Yasin Farsak,de GER,GK,Ingolstadt,2007,1,0,17,0.2,0,0,0,0,0.00,0.00,17,0.7,0.2,0,,0,1,17,0,3.00,1,0,+1,+5.29,+4.64
Marlon Faß,de GER,FW,Hoffenheim,2006,23,19,1618,18.0,18,18,0,0,1.00,1.00,70,74.9,18.0,19,80,10,4,26,0,1.83,55,37,+18,+1.00,+0.50
Lasse Fassmann,de GER,DF,1860 Munich,2006,24,24,2160,24.0,0,0,0,0,0.00,0.00,90,100.0,24.0,24,90,24,0,,0,1.46,49,47,+2,+0.08,
